trip_id,stretch_id,stretch_name
-9221432942161771616,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-9221432942161771616,8000266>8003368,Wuppertal Hbf -> Köln Messe/Deutz
-9221432942161771616,8000142>8000266,Hagen Hbf -> Wuppertal Hbf
-9221432942161771616,8000080>8000142,Dortmund Hbf -> Hagen Hbf
-9221432942161771616,8000149>8000080,Hamm(Westf)Hbf -> Dortmund Hbf
-9221432942161771616,8000036>8000149,Bielefeld Hbf -> Hamm(Westf)Hbf
-9221432942161771616,8000152>8000036,Hannover Hbf -> Bielefeld Hbf
-9221432942161771616,8006552>8000152,Wolfsburg Hbf -> Hannover Hbf
-9221432942161771616,8010334>8006552,Stendal Hbf -> Wolfsburg Hbf
-9221432942161771616,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-9221432942161771616,8011160>8010404,Berlin Hbf -> Berlin-Spandau
-8965117659663328208,8000147>8000050,Hamburg-Harburg -> Bremen Hbf
-8965117659663328208,8000147>8000238,Hamburg-Harburg -> Lüneburg
-8965117659663328208,8000238>8000168,Lüneburg -> Uelzen
-8965117659663328208,8000168>8000064,Uelzen -> Celle
-8965117659663328208,8000064>8000152,Celle -> Hannover Hbf
-8965117659663328208,8000152>8000128,Hannover Hbf -> Göttingen
-8965117659663328208,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-8965117659663328208,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-8965117659663328208,8000115>8000260,Fulda -> Würzburg Hbf
-8965117659663328208,8000260>8000284,Würzburg Hbf -> Nürnberg Hbf
-8965117659663328208,8000183>8000284,Ingolstadt Hbf -> Nürnberg Hbf
-8965117659663328208,8000261>8000183,München Hbf -> Ingolstadt Hbf
-8906112445839706377,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-8906112445839706377,8000085>8003368,Düsseldorf Hbf -> Köln Messe/Deutz
-8906112445839706377,8000086>8000085,Duisburg Hbf -> Düsseldorf Hbf
-8906112445839706377,8000098>8000086,Essen Hbf -> Duisburg Hbf
-8906112445839706377,8000080>8000098,Dortmund Hbf -> Essen Hbf
-8906112445839706377,8000149>8000080,Hamm(Westf)Hbf -> Dortmund Hbf
-8906112445839706377,8000036>8000149,Bielefeld Hbf -> Hamm(Westf)Hbf
-8906112445839706377,8000152>8000036,Hannover Hbf -> Bielefeld Hbf
-8906112445839706377,8006552>8000152,Wolfsburg Hbf -> Hannover Hbf
-8906112445839706377,8010334>8006552,Stendal Hbf -> Wolfsburg Hbf
-8906112445839706377,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-8906112445839706377,8011160>8010404,Berlin Hbf -> Berlin-Spandau
-8902140572894671801,8000147>8000050,Hamburg-Harburg -> Bremen Hbf
-8902140572894671801,8000147>8000238,Hamburg-Harburg -> Lüneburg
-8902140572894671801,8000238>8000168,Lüneburg -> Uelzen
-8902140572894671801,8000168>8000064,Uelzen -> Celle
-8902140572894671801,8000064>8000152,Celle -> Hannover Hbf
-8902140572894671801,8006552>8000152,Wolfsburg Hbf -> Hannover Hbf
-8902140572894671801,8000049>8006552,Braunschweig Hbf -> Wolfsburg Hbf
-8902140572894671801,8000049>8006552,Braunschweig Hbf -> Wolfsburg Hbf
-8902140572894671801,8010334>8006552,Stendal Hbf -> Wolfsburg Hbf
-8902140572894671801,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-8902140572894671801,8011160>8010404,Berlin Hbf -> Berlin-Spandau
-8902140572894671801,8011113>8011160,Berlin Südkreuz -> Berlin Hbf
-8902140572894671801,8010050>8011113,Bitterfeld -> Berlin Südkreuz
-8902140572894671801,8070814>8010050,Halle(Saale)Hbf -> Bitterfeld
-8902140572894671801,8010205>8070814,Leipzig Hbf -> Halle(Saale)Hbf
-8844375931638732232,8002549>8000237,Hamburg Hbf -> Lübeck Hbf
-8717013811231264127,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8717013811231264127,8000092>8002548,Elmshorn -> Hamburg Dammtor
-8717013811231264127,8000092>8000271,Elmshorn -> Neumünster
-8717013811231264127,8000271>8005362,Neumünster -> Schleswig
-8717013811231264127,8005362>8000103,Schleswig -> Flensburg
-8717013811231264127,8000103>8650100,Flensburg -> Padborg st
-8717013811231264127,8650100>8601309,Padborg st -> Koebenhavn H
-8701805413806314010,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8701805413806314010,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8701805413806314010,8000147>8000238,Hamburg-Harburg -> Lüneburg
-8701805413806314010,8000238>8000168,Lüneburg -> Uelzen
-8701805413806314010,8000168>8000064,Uelzen -> Celle
-8701805413806314010,8000064>8000152,Celle -> Hannover Hbf
-8701805413806314010,8000152>8000128,Hannover Hbf -> Göttingen
-8701805413806314010,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-8701805413806314010,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-8701805413806314010,8000115>8000150,Fulda -> Hanau Hbf
-8701805413806314010,8000150>8002041,Hanau Hbf -> Frankfurt(Main)Süd
-8701805413806314010,8002041>8000105,Frankfurt(Main)Süd -> Frankfurt(Main)Hbf
-8701805413806314010,8000105>8070003,Frankfurt(Main)Hbf -> Frankfurt(M) Flughafen Fernbf
-8701805413806314010,8070003>8000244,Frankfurt(M) Flughafen Fernbf -> Mannheim Hbf
-8701805413806314010,8000244>8006053,Mannheim Hbf -> Vaihingen(Enz)
-8701805413806314010,8006053>8000096,Vaihingen(Enz) -> Stuttgart Hbf
-8677182982400525824,8000013>8004158,Augsburg Hbf -> München-Pasing
-8677182982400525824,8004158>8000261,München-Pasing -> München Hbf
-8677182982400525824,8000261>8000183,München Hbf -> Ingolstadt Hbf
-8677182982400525824,8000183>8000284,Ingolstadt Hbf -> Nürnberg Hbf
-8677182982400525824,8000260>8000284,Würzburg Hbf -> Nürnberg Hbf
-8677182982400525824,8000115>8000260,Fulda -> Würzburg Hbf
-8677182982400525824,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-8677182982400525824,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-8677182982400525824,8000152>8000128,Hannover Hbf -> Göttingen
-8677182982400525824,8000064>8000152,Celle -> Hannover Hbf
-8677182982400525824,8000168>8000064,Uelzen -> Celle
-8677182982400525824,8000238>8000168,Lüneburg -> Uelzen
-8677182982400525824,8000147>8000238,Hamburg-Harburg -> Lüneburg
-8677182982400525824,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8677182982400525824,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8677182982400525824,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-8674838902493379360,8006053>8000096,Vaihingen(Enz) -> Stuttgart Hbf
-8674838902493379360,8000244>8006053,Mannheim Hbf -> Vaihingen(Enz)
-8674838902493379360,8070003>8000244,Frankfurt(M) Flughafen Fernbf -> Mannheim Hbf
-8674838902493379360,8000105>8070003,Frankfurt(Main)Hbf -> Frankfurt(M) Flughafen Fernbf
-8674838902493379360,8002041>8000105,Frankfurt(Main)Süd -> Frankfurt(Main)Hbf
-8674838902493379360,8000150>8002041,Hanau Hbf -> Frankfurt(Main)Süd
-8674838902493379360,8000115>8000150,Fulda -> Hanau Hbf
-8674838902493379360,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-8674838902493379360,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-8674838902493379360,8000152>8000128,Hannover Hbf -> Göttingen
-8674838902493379360,8000064>8000152,Celle -> Hannover Hbf
-8674838902493379360,8000168>8000064,Uelzen -> Celle
-8674838902493379360,8000238>8000168,Lüneburg -> Uelzen
-8674838902493379360,8000147>8000238,Hamburg-Harburg -> Lüneburg
-8674838902493379360,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8674838902493379360,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8674838902493379360,8000092>8002548,Elmshorn -> Hamburg Dammtor
-8674838902493379360,8003102>8000092,Itzehoe -> Elmshorn
-8674838902493379360,8000155>8003102,Heide(Holst) -> Itzehoe
-8674838902493379360,8000181>8000155,Husum -> Heide(Holst)
-8674838902493379360,8004343>8000181,Niebüll -> Husum
-8674838902493379360,8006369>8004343,Westerland(Sylt) -> Niebüll
-8639223983941365030,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-8639223983941365030,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8639223983941365030,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8639223983941365030,8000147>8000238,Hamburg-Harburg -> Lüneburg
-8639223983941365030,8000238>8000168,Lüneburg -> Uelzen
-8639223983941365030,8000168>8000064,Uelzen -> Celle
-8639223983941365030,8000064>8000152,Celle -> Hannover Hbf
-8639223983941365030,8000152>8000128,Hannover Hbf -> Göttingen
-8639223983941365030,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-8639223983941365030,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-8639223983941365030,8000115>8000150,Fulda -> Hanau Hbf
-8639223983941365030,8000150>8002041,Hanau Hbf -> Frankfurt(Main)Süd
-8639223983941365030,8070003>8002041,Frankfurt(M) Flughafen Fernbf -> Frankfurt(Main)Süd
-8639223983941365030,8070003>8000244,Frankfurt(M) Flughafen Fernbf -> Mannheim Hbf
-8639223983941365030,8000244>8000191,Mannheim Hbf -> Karlsruhe Hbf
-8624992757107064587,8004158>8000261,München-Pasing -> München Hbf
-8624992757107064587,8000013>8004158,Augsburg Hbf -> München-Pasing
-8624992757107064587,8000170>8000013,Ulm Hbf -> Augsburg Hbf
-8624992757107064587,8000096>8000170,Stuttgart Hbf -> Ulm Hbf
-8624992757107064587,8006053>8000096,Vaihingen(Enz) -> Stuttgart Hbf
-8624992757107064587,8000244>8006053,Mannheim Hbf -> Vaihingen(Enz)
-8624992757107064587,8070003>8000244,Frankfurt(M) Flughafen Fernbf -> Mannheim Hbf
-8624992757107064587,8003680>8070003,Limburg Süd -> Frankfurt(M) Flughafen Fernbf
-8624992757107064587,8000667>8003680,Montabaur -> Limburg Süd
-8624992757107064587,8005556>8000667,Siegburg/Bonn -> Montabaur
-8624992757107064587,8003368>8005556,Köln Messe/Deutz -> Siegburg/Bonn
-8624992757107064587,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-8624992757107064587,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-8624992757107064587,8000085>8003368,Düsseldorf Hbf -> Köln Messe/Deutz
-8624992757107064587,8000086>8000085,Duisburg Hbf -> Düsseldorf Hbf
-8624992757107064587,8000098>8000086,Essen Hbf -> Duisburg Hbf
-8624992757107064587,8000080>8000098,Dortmund Hbf -> Essen Hbf
-8624992757107064587,8000263>8000080,Münster(Westf)Hbf -> Dortmund Hbf
-8624992757107064587,8000294>8000263,Osnabrück Hbf -> Münster(Westf)Hbf
-8624992757107064587,8000050>8000294,Bremen Hbf -> Osnabrück Hbf
-8624992757107064587,8000147>8000050,Hamburg-Harburg -> Bremen Hbf
-8624992757107064587,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8624992757107064587,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8624992757107064587,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-8614664585551473503,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-8614664585551473503,8000266>8003368,Wuppertal Hbf -> Köln Messe/Deutz
-8614664585551473503,8000142>8000266,Hagen Hbf -> Wuppertal Hbf
-8614664585551473503,8000080>8000142,Dortmund Hbf -> Hagen Hbf
-8614664585551473503,8000149>8000080,Hamm(Westf)Hbf -> Dortmund Hbf
-8614664585551473503,8000036>8000149,Bielefeld Hbf -> Hamm(Westf)Hbf
-8614664585551473503,8000152>8000036,Hannover Hbf -> Bielefeld Hbf
-8614664585551473503,8006552>8000152,Wolfsburg Hbf -> Hannover Hbf
-8614664585551473503,8010334>8006552,Stendal Hbf -> Wolfsburg Hbf
-8614664585551473503,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-8471873024121272354,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-8471873024121272354,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8471873024121272354,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8471873024121272354,8000147>8000050,Hamburg-Harburg -> Bremen Hbf
-8471873024121272354,8000050>8000294,Bremen Hbf -> Osnabrück Hbf
-8471873024121272354,8000294>8000263,Osnabrück Hbf -> Münster(Westf)Hbf
-8471873024121272354,8000263>8000080,Münster(Westf)Hbf -> Dortmund Hbf
-8471873024121272354,8000080>8000142,Dortmund Hbf -> Hagen Hbf
-8471873024121272354,8000142>8000266,Hagen Hbf -> Wuppertal Hbf
-8471873024121272354,8000266>8003368,Wuppertal Hbf -> Köln Messe/Deutz
-8471873024121272354,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-8471873024121272354,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-8471873024121272354,8003368>8005556,Köln Messe/Deutz -> Siegburg/Bonn
-8471873024121272354,8005556>8000667,Siegburg/Bonn -> Montabaur
-8471873024121272354,8000667>8003680,Montabaur -> Limburg Süd
-8471873024121272354,8003680>8070003,Limburg Süd -> Frankfurt(M) Flughafen Fernbf
-8471873024121272354,8070003>8000244,Frankfurt(M) Flughafen Fernbf -> Mannheim Hbf
-8471873024121272354,8000244>8006053,Mannheim Hbf -> Vaihingen(Enz)
-8471873024121272354,8006053>8000096,Vaihingen(Enz) -> Stuttgart Hbf
-8386336934533711188,8000260>8000284,Würzburg Hbf -> Nürnberg Hbf
-8386336934533711188,8000010>8000260,Aschaffenburg Hbf -> Würzburg Hbf
-8386336934533711188,8000150>8000010,Hanau Hbf -> Aschaffenburg Hbf
-8386336934533711188,8000150>8002041,Hanau Hbf -> Frankfurt(Main)Süd
-8386336934533711188,8002041>8000105,Frankfurt(Main)Süd -> Frankfurt(Main)Hbf
-8386336934533711188,8000105>8070003,Frankfurt(Main)Hbf -> Frankfurt(M) Flughafen Fernbf
-8386336934533711188,8003680>8070003,Limburg Süd -> Frankfurt(M) Flughafen Fernbf
-8386336934533711188,8000667>8003680,Montabaur -> Limburg Süd
-8386336934533711188,8005556>8000667,Siegburg/Bonn -> Montabaur
-8386336934533711188,8003368>8005556,Köln Messe/Deutz -> Siegburg/Bonn
-8386336934533711188,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-8386336934533711188,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-8386336934533711188,8000085>8003368,Düsseldorf Hbf -> Köln Messe/Deutz
-8386336934533711188,8000086>8000085,Duisburg Hbf -> Düsseldorf Hbf
-8386336934533711188,8000098>8000086,Essen Hbf -> Duisburg Hbf
-8386336934533711188,8000080>8000098,Dortmund Hbf -> Essen Hbf
-8386336934533711188,8000263>8000080,Münster(Westf)Hbf -> Dortmund Hbf
-8386336934533711188,8000294>8000263,Osnabrück Hbf -> Münster(Westf)Hbf
-8386336934533711188,8000050>8000294,Bremen Hbf -> Osnabrück Hbf
-8386336934533711188,8000147>8000050,Hamburg-Harburg -> Bremen Hbf
-8386336934533711188,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8386336934533711188,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8386336934533711188,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-8160985285898732989,8500010>8503000,Basel SBB -> Zürich HB
-8160985285898732989,8000026>8500010,Basel Bad Bf -> Basel SBB
-8160985285898732989,8000107>8000026,Freiburg(Breisgau) Hbf -> Basel Bad Bf
-8160985285898732989,8000191>8000107,Karlsruhe Hbf -> Freiburg(Breisgau) Hbf
-8160985285898732989,8000244>8000191,Mannheim Hbf -> Karlsruhe Hbf
-8160985285898732989,8070003>8000244,Frankfurt(M) Flughafen Fernbf -> Mannheim Hbf
-8160985285898732989,8000105>8070003,Frankfurt(Main)Hbf -> Frankfurt(M) Flughafen Fernbf
-8160985285898732989,8002041>8000105,Frankfurt(Main)Süd -> Frankfurt(Main)Hbf
-8160985285898732989,8000150>8002041,Hanau Hbf -> Frankfurt(Main)Süd
-8160985285898732989,8000115>8000150,Fulda -> Hanau Hbf
-8160985285898732989,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-8160985285898732989,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-8160985285898732989,8000152>8000128,Hannover Hbf -> Göttingen
-8160985285898732989,8000064>8000152,Celle -> Hannover Hbf
-8160985285898732989,8000168>8000064,Uelzen -> Celle
-8160985285898732989,8000238>8000168,Lüneburg -> Uelzen
-8160985285898732989,8000147>8000238,Hamburg-Harburg -> Lüneburg
-8160985285898732989,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8003392339101483857,8000261>8000183,München Hbf -> Ingolstadt Hbf
-8003392339101483857,8000183>8000284,Ingolstadt Hbf -> Nürnberg Hbf
-8003392339101483857,8000260>8000284,Würzburg Hbf -> Nürnberg Hbf
-8003392339101483857,8000115>8000260,Fulda -> Würzburg Hbf
-8003392339101483857,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-8003392339101483857,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-8003392339101483857,8000152>8000128,Hannover Hbf -> Göttingen
-8003392339101483857,8000064>8000152,Celle -> Hannover Hbf
-8003392339101483857,8000168>8000064,Uelzen -> Celle
-8003392339101483857,8000238>8000168,Lüneburg -> Uelzen
-8003392339101483857,8000147>8000238,Hamburg-Harburg -> Lüneburg
-8003392339101483857,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-8003392339101483857,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-8003392339101483857,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-7995997926778335401,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-7995997926778335401,8000085>8003368,Düsseldorf Hbf -> Köln Messe/Deutz
-7995997926778335401,8000086>8000085,Duisburg Hbf -> Düsseldorf Hbf
-7995997926778335401,8000098>8000086,Essen Hbf -> Duisburg Hbf
-7995997926778335401,8000080>8000098,Dortmund Hbf -> Essen Hbf
-7995997926778335401,8000263>8000080,Münster(Westf)Hbf -> Dortmund Hbf
-7995997926778335401,8000294>8000263,Osnabrück Hbf -> Münster(Westf)Hbf
-7995997926778335401,8000050>8000294,Bremen Hbf -> Osnabrück Hbf
-7995997926778335401,8000147>8000050,Hamburg-Harburg -> Bremen Hbf
-7995997926778335401,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-7995997926778335401,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-7995997926778335401,8000092>8002548,Elmshorn -> Hamburg Dammtor
-7995997926778335401,8003102>8000092,Itzehoe -> Elmshorn
-7995997926778335401,8000155>8003102,Heide(Holst) -> Itzehoe
-7995997926778335401,8000181>8000155,Husum -> Heide(Holst)
-7995997926778335401,8004343>8000181,Niebüll -> Husum
-7995997926778335401,8007769>8004343,Dagebüll Mole -> Niebüll
-7978933695405398739,8000147>8000050,Hamburg-Harburg -> Bremen Hbf
-7978933695405398739,8000147>8000238,Hamburg-Harburg -> Lüneburg
-7978933695405398739,8000238>8000168,Lüneburg -> Uelzen
-7978933695405398739,8000168>8000064,Uelzen -> Celle
-7978933695405398739,8000064>8000152,Celle -> Hannover Hbf
-7978933695405398739,8006552>8000152,Wolfsburg Hbf -> Hannover Hbf
-7978933695405398739,8000049>8006552,Braunschweig Hbf -> Wolfsburg Hbf
-7978933695405398739,8000049>8006552,Braunschweig Hbf -> Wolfsburg Hbf
-7978933695405398739,8010334>8006552,Stendal Hbf -> Wolfsburg Hbf
-7978933695405398739,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-7978933695405398739,8011160>8010404,Berlin Hbf -> Berlin-Spandau
-7978933695405398739,8011113>8011160,Berlin Südkreuz -> Berlin Hbf
-7978933695405398739,8010050>8011113,Bitterfeld -> Berlin Südkreuz
-7978933695405398739,8070814>8010050,Halle(Saale)Hbf -> Bitterfeld
-7978933695405398739,8010205>8070814,Leipzig Hbf -> Halle(Saale)Hbf
-7956047615718350819,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-7956047615718350819,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-7956047615718350819,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-7956047615718350819,8000147>8000050,Hamburg-Harburg -> Bremen Hbf
-7956047615718350819,8000050>8000294,Bremen Hbf -> Osnabrück Hbf
-7956047615718350819,8000294>8000263,Osnabrück Hbf -> Münster(Westf)Hbf
-7956047615718350819,8000263>8000080,Münster(Westf)Hbf -> Dortmund Hbf
-7956047615718350819,8000080>8000098,Dortmund Hbf -> Essen Hbf
-7956047615718350819,8000098>8000086,Essen Hbf -> Duisburg Hbf
-7956047615718350819,8000086>8000085,Duisburg Hbf -> Düsseldorf Hbf
-7956047615718350819,8000085>8003368,Düsseldorf Hbf -> Köln Messe/Deutz
-7956047615718350819,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-7956047615718350819,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-7956047615718350819,8003368>8005556,Köln Messe/Deutz -> Siegburg/Bonn
-7956047615718350819,8005556>8000667,Siegburg/Bonn -> Montabaur
-7956047615718350819,8000667>8003680,Montabaur -> Limburg Süd
-7956047615718350819,8003680>8070003,Limburg Süd -> Frankfurt(M) Flughafen Fernbf
-7956047615718350819,8070003>8000244,Frankfurt(M) Flughafen Fernbf -> Mannheim Hbf
-7956047615718350819,8000244>8000191,Mannheim Hbf -> Karlsruhe Hbf
-7937947848915178179,8011160>8010404,Berlin Hbf -> Berlin-Spandau
-7937947848915178179,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-7937947848915178179,8010334>8006552,Stendal Hbf -> Wolfsburg Hbf
-7937947848915178179,8006552>8000152,Wolfsburg Hbf -> Hannover Hbf
-7937947848915178179,8000152>8000036,Hannover Hbf -> Bielefeld Hbf
-7937947848915178179,8000036>8000149,Bielefeld Hbf -> Hamm(Westf)Hbf
-7937947848915178179,8000149>8000080,Hamm(Westf)Hbf -> Dortmund Hbf
-7937947848915178179,8000080>8000098,Dortmund Hbf -> Essen Hbf
-7937947848915178179,8000098>8000086,Essen Hbf -> Duisburg Hbf
-7937947848915178179,8000086>8000085,Duisburg Hbf -> Düsseldorf Hbf
-7937947848915178179,8000085>8003368,Düsseldorf Hbf -> Köln Messe/Deutz
-7937947848915178179,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-7894185240135079180,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-7894185240135079180,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-7894185240135079180,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-7894185240135079180,8000147>8000238,Hamburg-Harburg -> Lüneburg
-7894185240135079180,8000238>8000168,Lüneburg -> Uelzen
-7894185240135079180,8000168>8010334,Uelzen -> Stendal Hbf
-7894185240135079180,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-7894185240135079180,8011160>8010404,Berlin Hbf -> Berlin-Spandau
-7894185240135079180,8011113>8011160,Berlin Südkreuz -> Berlin Hbf
-7894185240135079180,8010050>8011113,Bitterfeld -> Berlin Südkreuz
-7894185240135079180,8070814>8010050,Halle(Saale)Hbf -> Bitterfeld
-7894185240135079180,8010101>8070814,Erfurt Hbf -> Halle(Saale)Hbf
-7894185240135079180,8089478>8010101,Bamberg -> Erfurt Hbf
-7894185240135079180,8000284>8089478,Nürnberg Hbf -> Bamberg
-7894185240135079180,8000183>8000284,Ingolstadt Hbf -> Nürnberg Hbf
-7894185240135079180,8000261>8000183,München Hbf -> Ingolstadt Hbf
-7894185240135079180,8004158>8000261,München-Pasing -> München Hbf
-7894185240135079180,8000013>8004158,Augsburg Hbf -> München-Pasing
-7894185240135079180,8000013>8004158,Augsburg Hbf -> München-Pasing
-7894185240135079180,8004158>8000261,München-Pasing -> München Hbf
-7732825863849667402,8011160>8010404,Berlin Hbf -> Berlin-Spandau
-7732825863849667402,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-7732825863849667402,8010334>8006552,Stendal Hbf -> Wolfsburg Hbf
-7732825863849667402,8006552>8000152,Wolfsburg Hbf -> Hannover Hbf
-7732825863849667402,8000152>8000036,Hannover Hbf -> Bielefeld Hbf
-7732825863849667402,8000036>8000149,Bielefeld Hbf -> Hamm(Westf)Hbf
-7732825863849667402,8000149>8000080,Hamm(Westf)Hbf -> Dortmund Hbf
-7732825863849667402,8000080>8000098,Dortmund Hbf -> Essen Hbf
-7732825863849667402,8000098>8000086,Essen Hbf -> Duisburg Hbf
-7732825863849667402,8000086>8000085,Duisburg Hbf -> Düsseldorf Hbf
-7547304040443208216,8000260>8000284,Würzburg Hbf -> Nürnberg Hbf
-7547304040443208216,8000115>8000260,Fulda -> Würzburg Hbf
-7547304040443208216,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-7547304040443208216,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-7547304040443208216,8000152>8000128,Hannover Hbf -> Göttingen
-7547304040443208216,8000064>8000152,Celle -> Hannover Hbf
-7547304040443208216,8000168>8000064,Uelzen -> Celle
-7547304040443208216,8000238>8000168,Lüneburg -> Uelzen
-7547304040443208216,8000147>8000238,Hamburg-Harburg -> Lüneburg
-7547304040443208216,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-7547304040443208216,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-7547304040443208216,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
-7483129902444507423,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
-7483129902444507423,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
-7483129902444507423,8000147>8000238,Hamburg-Harburg -> Lüneburg
-7483129902444507423,8000238>8000168,Lüneburg -> Uelzen
-7483129902444507423,8000168>8000064,Uelzen -> Celle
-7483129902444507423,8000064>8000152,Celle -> Hannover Hbf
-7483129902444507423,8000152>8000128,Hannover Hbf -> Göttingen
-7483129902444507423,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
-7483129902444507423,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
-7483129902444507423,8000115>8000150,Fulda -> Hanau Hbf
-7483129902444507423,8000150>8002041,Hanau Hbf -> Frankfurt(Main)Süd
-7483129902444507423,8002041>8000105,Frankfurt(Main)Süd -> Frankfurt(Main)Hbf
-7483129902444507423,8000105>8070003,Frankfurt(Main)Hbf -> Frankfurt(M) Flughafen Fernbf
-7483129902444507423,8070003>8000244,Frankfurt(M) Flughafen Fernbf -> Mannheim Hbf
-7483129902444507423,8000244>8006053,Mannheim Hbf -> Vaihingen(Enz)
-7483129902444507423,8006053>8000096,Vaihingen(Enz) -> Stuttgart Hbf
-7276497044803552535,8011160>8010404,Berlin Hbf -> Berlin-Spandau
-7276497044803552535,8010404>8010334,Berlin-Spandau -> Stendal Hbf
-7276497044803552535,8010334>8006552,Stendal Hbf -> Wolfsburg Hbf
-7276497044803552535,8006552>8000152,Wolfsburg Hbf -> Hannover Hbf
-7276497044803552535,8000152>8000036,Hannover Hbf -> Bielefeld Hbf
-7276497044803552535,8000036>8000149,Bielefeld Hbf -> Hamm(Westf)Hbf
-7276497044803552535,8000149>8000080,Hamm(Westf)Hbf -> Dortmund Hbf
-7276497044803552535,8000080>8000142,Dortmund Hbf -> Hagen Hbf
-7276497044803552535,8000142>8000266,Hagen Hbf -> Wuppertal Hbf
-7276497044803552535,8000266>8003368,Wuppertal Hbf -> Köln Messe/Deutz
-7276497044803552535,8003368>8000207,Köln Messe/Deutz -> Köln Hbf
-7215225803236491059,8650100>8601309,Padborg st -> Koebenhavn H
-7215225803236491059,8000103>8650100,Flensburg -> Padborg st
-7215225803236491059,8005362>8000103,Schleswig -> Flensburg
