statuscode,readable,leds_primary,leds_secondary
south_14_outbound,south_14_outbound,,
south_14_inbound,south_14_inbound,,
south_15_outbound,south_15_outbound,,
south_15_inbound,south_15_inbound,,
south_16_outbound,south_16_outbound,,
south_16_inbound,south_16_inbound,,
south_17_outbound,south_17_outbound,,
south_17_inbound,south_17_inbound,,
south_18_outbound,south_18_outbound,,
south_18_inbound,south_18_inbound,,
south_19_outbound,south_19_outbound,,
south_19_inbound,south_19_inbound,,
south_20_outbound,south_20_outbound,,
south_20_inbound,south_20_inbound,,
south_21_outbound,south_21_outbound,,
south_21_inbound,south_21_inbound,,
south_22_outbound,south_22_outbound,,
south_22_inbound,south_22_inbound,,
south_23_outbound,south_23_outbound,,
south_23_inbound,south_23_inbound,,
south_24_outbound,south_24_outbound,,
south_24_inbound,south_24_inbound,,
south_25_outbound,south_25_outbound,,
south_25_inbound,south_25_inbound,,
